claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,Shakespeare_Company,Guinea_company,Asuragen,Widdicomb_Furniture_Company,Westinghouse_Company
150448,Roman_food,"Roman_theatre,_Cartagena",Roman_roads_in_Morocco,Cossutianus_Capito,Phil_Roman_Entertainment
214861,Topless_-LRB-film-RRB-,Le_Temps_d'un_film,Asta_Film,European_Film_Award_for_Best_Short_Film,Hathyar
156709,Certified_Accountant,Sunil_Gupta,Abudureyimu_Ajiyiming,Marion_Vernese_Williams,Arthur_Rylands_Lowe
129629,List_of_American_Chopper_episodes,Basic_American_Foods,Eitaro_Ishigaki,American_Indians,American_comics
33078,List_of_role-playing_video_games,Mens_Sprint_at_the_2011_Pacific_Games,1920s_in_games,National_Games,Tabletop_game
6744,Topless_-LRB-film-RRB-,Le_Temps_d'un_film,Asta_Film,European_Film_Award_for_Best_Short_Film,Hathyar
226034,1854_in_Australia,List_of_Nissan_vehicles,Hi-Chew,Adolan,List_of_Vauxhall_vehicles
40190,Tri-Eastern_Conference_All-Sports_Titles,2010_Corsica_Football_Cup,2000–01_Welsh-Scottish_League,1984_in_Argentine_football,1996–97_Belgian_First_Division
76253,Thing_Called_Love,Valley_Hospital,Wood_End,List_of_district_courts_of_Norway,Gadzhikara
